순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
7,케이엠더블유,032500,"68,800","997,661","27,397",28.64,67.76
8,펄어비스,263750,"203,400","44,579","26,604",13.81,31.62
10,SK머티리얼즈,036490,"246,000","310,530","25,947",20.28,30.22
14,리노공업,058470,"117,400","45,146","17,895",29.93,18.75
15,솔브레인홀딩스,036830,"95,900",0,"16,685",12.37,15.06
17,컴투스,078340,"126,900","77,125","16,327",14.65,12.68
20,동진쎄미켐,005290,"28,850","947,111","14,833",22.70,17.78
21,아이티엠반도체,084850,"60,500","136,965","13,828",27.29,22.69
29,동국제약,086450,"132,000","38,571","11,737",19.78,16.66
30,NICE평가정보,030190,"19,250","259,625","11,688",27.66,19.30
34,티씨케이,064760,"88,200","21,551","10,297",21.27,23.15
36,웹젠,069080,"28,400","405,411","10,028",25.43,12.74
38,차바이오텍,085660,"18,850","236,711","9,895",20.14,13.17
45,클래시스,214150,"13,900","306,823","8,995",22.60,48.06
57,비에이치,090460,"23,600","2,908,059","7,763",13.21,24.22
60,케어젠,214370,"69,900","574,852","7,509",25.22,13.31
62,아프리카TV,067160,"64,700","117,932","7,437",23.21,32.52
66,네패스,033640,"31,500","3,898,330","7,264",29.38,16.52
73,서진시스템,178320,"38,500","490,992","6,969",18.26,20.25
74,포스코 ICT,022100,"4,495","263,976","6,834",16.71,11.13
75,KG이니시스,035600,"24,000","307,199","6,697",13.49,21.61
80,에코마케팅,230360,"40,400","471,928","6,544",20.74,32.65
82,오이솔루션,138080,"61,300","754,748","6,513",16.91,44.43
87,이엔에프테크놀로지,102710,"42,900","425,492","6,104",12.38,18.90
92,휴온스,243070,"56,200","48,731","5,553",14.51,21.36
97,파트론,091700,"10,050","1,929,036","5,443",10.68,18.71
99,에프에스티,036810,"26,300","415,898","5,321",27.14,17.52
100,다우데이타,032190,"13,800","263,824","5,285",12.12,13.08
102,테스나,131970,"70,600","864,077","5,235",23.92,17.50
104,코웰패션,033290,"5,900","254,686","5,222",10.24,22.72
115,이녹스첨단소재,272290,"48,900","78,716","4,647",15.65,21.10
123,하나머티리얼즈,166090,"23,000","425,807","4,514",17.16,20.86
126,코엔텍,029960,"8,900","225,171","4,450",19.35,16.01
133,와이솔,122990,"15,450","527,155","4,353",15.45,10.19
139,비츠로셀,082920,"19,500","318,563","4,200",18.70,15.34
141,메가스터디교육,215200,"35,100","47,922","4,149",10.09,20.45
148,엘비세미콘,061970,"8,970","3,219,849","3,927",13.08,24.47
150,디오,039840,"25,200","32,724","3,912",19.16,16.97
153,다나와,119860,"29,450","73,091","3,851",15.94,23.63
156,아이센스,099190,"27,200","131,840","3,737",15.11,12.35
157,주성엔지니어링,036930,"7,720","644,579","3,725",24.66,11.50
166,한국정보통신,025770,"9,530","74,148","3,568",16.87,12.70
167,이노와이어리스,073490,"52,900","175,781","3,564",18.18,17.77
168,티에스이,131290,"32,150","80,431","3,556",13.02,10.33
171,뷰웍스,100120,"35,500","55,247","3,551",13.46,16.03
172,위닉스,044340,"19,850","196,791","3,548",18.74,29.85
177,노바렉스,194700,"38,250","99,691","3,444",19.07,17.23
179,유니테스트,086390,"16,250","1,438,553","3,434",15.84,17.03
188,미스터블루,207760,"13,600","576,911","3,334",24.95,32.13
189,한국기업평가,034950,"73,200","1,865","3,324",15.63,20.96
190,코미코,183300,"37,450","66,232","3,286",15.26,21.04
193,씨아이에스,222080,"5,790","4,156,045","3,262",28.52,25.60
197,레이,228670,"47,550","69,997","3,164",24.92,27.58
203,사람인에이치알,143240,"26,600","57,853","3,101",12.27,25.35
210,SNK,950180,"14,350","40,408","3,022",23.88,15.59
211,케이아이엔엑스,093320,"61,900","38,260","3,021",20.60,20.10
212,바텍,043150,"20,300","62,727","3,015",10.68,14.49
221,피앤이솔루션,131390,"19,600","281,963","2,904",14.11,21.81
223,에이치엘사이언스,239610,"56,300","63,697","2,895",14.22,27.38
224,와이엠티,251370,"39,050","342,019","2,892",21.30,18.60
234,라온피플,300120,"26,950","136,723","2,784",27.33,19.03
236,신흥에스이씨,243840,"41,100","62,576","2,772",15.99,17.29
238,에스티아이,039440,"17,350","431,701","2,746",13.12,14.59
239,세틀뱅크,234340,"29,550","67,879","2,738",20.16,15.54
242,인터로조,119610,"23,100","28,352","2,697",14.45,13.89
245,네오팜,092730,"32,400","39,479","2,659",13.15,23.33
251,크리스에프앤씨,110790,"22,250","18,211","2,607",12.52,11.77
253,인크로스,216050,"32,250","67,028","2,598",27.10,14.48
256,나스미디어,089600,"29,450","69,475","2,578",13.81,15.07
258,뉴트리,270870,"28,250","72,922","2,563",19.04,17.94
261,덕산테코피아,317330,"13,800","57,140","2,536",20.51,10.78
264,동성화인텍,033500,"9,370","316,392","2,528",16.24,19.99
265,이크레더블,092130,"20,850","8,573","2,511",17.32,26.81
270,해마로푸드서비스,220630,"2,410","168,796","2,454",10.86,18.15
275,크린앤사이언스,045520,"36,500","194,376","2,372",26.92,20.57
276,디알젬,263690,"20,900","255,310","2,367",28.44,17.88
277,프로텍,053610,"21,450","82,676","2,360",13.03,19.94
279,미투온,201490,"7,460","629,991","2,332",21.50,15.94
280,동구바이오제약,006620,"24,200","256,685","2,324",16.25,19.15
289,인바디,041830,"16,650","72,980","2,278",11.41,15.47
293,와이엔텍,067900,"12,350","269,737","2,248",11.00,14.66
294,가비아,079940,"16,500","394,555","2,233",20.89,15.73
295,대화제약,067080,"12,250","93,047","2,233",20.73,13.50
299,위더스제약,330350,"25,250","121,660","2,220",22.58,17.95
300,우리기술투자,041190,"2,640","527,197","2,218",23.57,15.11
304,켐트로닉스,089010,"15,000","319,579","2,186",15.20,18.50
307,파세코,037070,"15,400","255,621","2,156",26.15,11.86
311,한스바이오메드,042520,"21,200","68,738","2,119",27.82,14.20
313,미래컴퍼니,049950,"25,100","15,392","2,099",25.85,11.06
314,유비쿼스,264450,"40,900","74,380","2,096",17.89,13.24
317,디케이티,290550,"25,050","1,162,092","2,062",16.32,18.32
334,포스코엠텍,009520,"4,810","418,054","2,003",18.57,11.87
338,윈스,136540,"16,300","77,499","1,980",10.53,13.62
342,녹십자웰빙,234690,"11,100","87,050","1,970",27.75,10.18
343,진로발효,018120,"29,750","2,729","1,970",14.27,15.81
347,인텍플러스,064290,"15,250","755,815","1,918",29.61,28.49
349,나이스디앤비,130580,"12,400","25,792","1,910",16.51,21.19
369,엠에스오토텍,123040,"5,340","843,592","1,831",25.31,13.84
375,멀티캠퍼스,067280,"30,500","3,706","1,808",11.40,18.19
379,SBI핀테크솔루션즈,950110,"7,230","24,302","1,783",19.18,22.11
380,오션브릿지,241790,"17,800","434,109","1,780",17.02,17.69
384,제이엔케이히터,126880,"7,780","1,720,646","1,776",19.45,10.11
386,야스,255440,"13,550","22,743","1,769",16.34,11.22
388,갤럭시아컴즈,094480,"4,510","899,301","1,769",19.69,10.04
392,어보브반도체,102120,"10,050","1,264,104","1,755",10.70,15.80
400,청담러닝,096240,"22,400","39,949","1,719",29.59,12.06
401,메디아나,041920,"19,850","419,232","1,717",18.96,12.68
403,민앤지,214180,"13,850","73,739","1,712",10.72,15.71
410,플레이디,237820,"13,050","106,750","1,674",17.88,17.67
414,대한뉴팜,054670,"11,500","143,046","1,651",10.52,29.27
418,쎄트렉아이,099320,"22,550","25,286","1,639",19.80,11.74
421,세운메디칼,100700,"3,720","505,940","1,629",16.91,10.44
428,아주IB투자,027360,"1,345","424,120","1,597",18.94,10.07
451,제노레이,122310,"10,250","159,993","1,492",10.14,25.33
454,라이온켐텍,171120,"7,890",667,"1,491",10.87,10.14
456,제로투세븐,159580,"7,420","39,497","1,486",19.79,13.70
457,이지웰,090850,"12,700","68,217","1,485",22.84,15.55
463,미래에셋벤처투자,100790,"3,195","415,831","1,470",17.46,10.18
469,디지털대성,068930,"6,410","32,587","1,453",10.42,19.70
488,엘이티,297890,"19,650","461,805","1,397",17.27,30.35
500,힘스,238490,"12,050","155,254","1,363",18.34,14.90
